Rank,TeamId,TeamMemberUserNames,Score
1,12054563,dhruvithakkar0026,0.73771
2,12049525,mpat005,0.73674
3,12079110,samsunnyleek,0.73671
4,12072960,matebartol,0.73623
5,12051010,jonathankierce,0.73606
6,12065417,ericzwong,0.7348
7,12052311,kerimb,0.73477
8,12051002,rayhanlimantara,0.73387
9,12063623,alexjamesmcdonald,0.73118
10,12064966,aydankumar,0.73048
11,12050751,racharitramnarong,0.72983
12,12074605,jonathanwesley2004,0.72939
13,12081645,wanyingyeow,0.72932
14,12112999,danielerwin,0.72925
15,12070055,jliang1288,0.72913
16,12056148,tashyasathyajit,0.72887
17,12114686,rkatetc3250,0.7281
18,12055486,astridsudharta,0.72791
19,12114174,williamerwin,0.72782
20,12055397,bryanaang,0.72769
21,12065002,ilyazalizniakmonash,0.72765
22,12076157,minhnguyen0113,0.72752
23,12059995,alexandragoh,0.72733
24,12055489,graciaharsono,0.7269
25,12064432,edwardgiam,0.72676
26,12111871,owenleighlancaster,0.72645
27,12044829,trangminhnguyen2203,0.72609
28,12051764,arindombaruah,0.72529
29,12092720,jarrodkiss,0.72527
30,12055315,jialerfong,0.72506
31,12078206,liitianng,0.72468
32,12088412,dliu2707,0.7245
33,12055426,harrietmason,0.72392
34,12100699,bgstrlk,0.72339
35,12064834,minhquannguyen281201,0.72337
36,12063830,mlimjw,0.72303
37,12055356,tigerraygood,0.72221
38,12070736,aakumar06,0.72218
39,12074471,chongshinkhoo,0.72154
40,12050982,annnnnachan,0.7211
41,12063994,khhushii,0.72095
42,12070132,ajen0022,0.72064
43,12060235,stra0017,0.7205
44,12088348,dangtran0044,0.72025
45,12073539,codyrosenzweig1,0.72021
46,12064571,meghaarora16,0.72013
47,12085878,sendibai,0.72011
48,12068360,chihhuiwang33209006,0.71999
49,12068329,yasinmyas0010,0.71997
50,12068097,rogerztr,0.7199
51,12108590,aliabbasrajabi,0.71984
52,12104039,yvonnezha88,0.71972
53,12044965,disharathod13,0.71967
54,12088389,sesaditb,0.71959
55,12072967,jiatan4535,0.71957
56,12080535,adamtran3101,0.7195
57,12119545,taewankwon1,0.71943
58,12076063,zexianlee,0.71942
59,12088480,suhaaskataria,0.71942
60,12084957,diptavlodh,0.71939
61,12073766,oher0004,0.71936
62,12091154,krispinmartin,0.71933
63,12074405,qiyangwualex,0.71932
